algoritmo,caso,tamanho,repeticao,tempo_execucao,cpu_pico,comparacoes,trocas,heapificacoes,profundidade_recursao,particoes
heap_sort,pior,256,15,0.0009706999990157,0.0,3106,1642,1770.0,0,
heap_sort,pior,1024,1,0.0033992000389844,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,2,0.0032842999789863,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,3,0.0049383000005036,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,4,0.0245996000012382,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,5,0.0055674000177532,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,6,0.0056685000308789,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,7,0.0054501999984495,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,8,0.0073188000242225,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,9,0.0076384000130929,0.015625,16407,8542,9054.0,0,
heap_sort,pior,1024,10,0.0055852999794296,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,11,0.0056612000335007,0.015625,16407,8542,9054.0,0,
heap_sort,pior,1024,12,0.0041711999801918,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,13,0.0044345000060275,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,14,0.0064073000103235,0.0,16407,8542,9054.0,0,
heap_sort,pior,1024,15,0.0101290000020526,0.015625,16407,8542,9054.0,0,
heap_sort,pior,4096,1,0.0213720999890938,0.015625,82304,42530,44578.0,0,
heap_sort,pior,4096,2,0.020050799997989,0.015625,82304,42530,44578.0,0,
heap_sort,pior,4096,3,0.0196494999690912,0.015625,82304,42530,44578.0,0,
heap_sort,pior,4096,4,0.0198416999774053,0.03125,82304,42530,44578.0,0,
heap_sort,pior,4096,5,0.4374605999910272,0.34375,82304,42530,44578.0,0,
heap_sort,pior,4096,6,0.0158234999980777,0.0,82304,42530,44578.0,0,
heap_sort,pior,4096,7,0.0143145000329241,0.015625,82304,42530,44578.0,0,
heap_sort,pior,4096,8,0.0155631999950855,0.015625,82304,42530,44578.0,0,
heap_sort,pior,4096,9,0.0142370999674312,0.015625,82304,42530,44578.0,0,
heap_sort,pior,4096,10,0.0147281999816186,0.0,82304,42530,44578.0,0,
heap_sort,pior,4096,11,0.0158602999872528,0.015625,82304,42530,44578.0,0,
heap_sort,pior,4096,12,0.0150323000270873,0.015625,82304,42530,44578.0,0,
heap_sort,pior,4096,13,0.0146180000156164,0.015625,82304,42530,44578.0,0,
heap_sort,pior,4096,14,0.0150964999920688,0.015625,82304,42530,44578.0,0,
heap_sort,pior,4096,15,0.0164194999961182,0.015625,82304,42530,44578.0,0,
heap_sort,pior,16384,1,0.0673507999745197,0.078125,394520,203032,211224.0,0,
heap_sort,pior,16384,2,0.0789721999899484,0.0625,394520,203032,211224.0,0,
heap_sort,pior,16384,3,0.0807292999816127,0.078125,394520,203032,211224.0,0,
heap_sort,pior,16384,4,0.0807346999645233,0.078125,394520,203032,211224.0,0,
heap_sort,pior,16384,5,0.0793572999536991,0.078125,394520,203032,211224.0,0,
heap_sort,pior,16384,6,0.0814564999891445,0.078125,394520,203032,211224.0,0,
heap_sort,pior,16384,7,0.0796987999929115,0.078125,394520,203032,211224.0,0,
heap_sort,pior,16384,8,0.0782434000284411,0.078125,394520,203032,211224.0,0,
heap_sort,pior,16384,9,0.0773531000013463,0.078125,394520,203032,211224.0,0,
heap_sort,pior,16384,10,0.0772439999855123,0.078125,394520,203032,211224.0,0,
heap_sort,pior,16384,11,0.1171758999698795,0.109375,394520,203032,211224.0,0,
heap_sort,pior,16384,12,0.0916370999766513,0.09375,394520,203032,211224.0,0,
heap_sort,pior,16384,13,0.0835913999471813,0.078125,394520,203032,211224.0,0,
heap_sort,pior,16384,14,0.0866172999958507,0.078125,394520,203032,211224.0,0,
heap_sort,pior,16384,15,0.0906141999876126,0.09375,394520,203032,211224.0,0,
heap_sort,pior,65536,1,0.3635770000400953,0.359375,1839970,941220,973988.0,0,
heap_sort,pior,65536,2,0.3272694000042975,0.328125,1839970,941220,973988.0,0,
heap_sort,pior,65536,3,0.3138502999790944,0.328125,1839970,941220,973988.0,0,
heap_sort,pior,65536,4,0.2962638000026345,0.296875,1839970,941220,973988.0,0,
heap_sort,pior,65536,5,0.3012070000404492,0.296875,1839970,941220,973988.0,0,
heap_sort,pior,65536,6,0.3971178000210784,0.40625,1839970,941220,973988.0,0,
heap_sort,pior,65536,7,0.4680147999897599,0.453125,1839970,941220,973988.0,0,
heap_sort,pior,65536,8,0.4837130000232719,0.46875,1839970,941220,973988.0,0,
heap_sort,pior,65536,9,0.4835343000013381,0.46875,1839970,941220,973988.0,0,
heap_sort,pior,65536,10,0.4680200000293553,0.453125,1839970,941220,973988.0,0,
heap_sort,pior,65536,11,0.4467875999980606,0.40625,1839970,941220,973988.0,0,
heap_sort,pior,65536,12,0.4313279000343755,0.421875,1839970,941220,973988.0,0,
heap_sort,pior,65536,13,0.5323107000440359,0.5,1839970,941220,973988.0,0,
heap_sort,pior,65536,14,0.4413840000052005,0.453125,1839970,941220,973988.0,0,
heap_sort,pior,65536,15,0.4179549000109546,0.40625,1839970,941220,973988.0,0,
heap_sort,pior,262144,1,1.411042499996256,1.375,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,2,1.1781186000443995,1.171875,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,3,1.1791384000098333,1.171875,8397651,4287044,4418116.0,0,
heap_sort,pior,262144,4,1.1740968999802135,1.171875,8397651,4287044,4418116.0,0,
